session_id,lap_id,timestamp_utc,track,session_type,session_mode,lap_number,total_race_laps,position,total_participants,ai_participants,player_participants,lap_time,sector1_time,sector2_time,sector3_time,gap_behind_sec,gap_ahead_sec,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,tyre_compound,tyre_age_laps,tyre_wear,tyres_in_temp_window_score,tyres_in_optimal_temp_window_score,tyres_in_optimal_carcass_temp_window,ai_difficulty,assists_any,damage_any,weather,time_of_day,drs_or_sm_activated_count,drs_or_sm_behind_activations,fuel_load,battery_deployed_total,battery_deployed_overtake,battery_deployed_boost,battery_recharged_total,battery_start,battery_end,max_speed_kph,is_first_lap,is_inlap,is_outlap,is_safety_car,time_in_pits_ms,pit_stop_time_ms,track_limits_violations,corner_cutting_warnings,time_penalties_received_sec,stuck_in_traffic_turn_count,lockups_count,lockups_minor,lockups_medium,lockups_severe,spins_count,spins_minor,spins_medium,spins_severe,damage_fl_wing,damage_fr_wing,damage_rear_wing,damage_body,damage_wheels,damage_terminal,wear_levels,assists_tc,assists_abs,assists_gearbox,assists_racing_line,assists_others,other_assists,assists_simulation_settings,flashback_enabled,flashback_occurred,lap_valid,sectors_invalid,is_complete,car_reg_year,version
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L1,2026-02-04T22:20:54.133992+00:00,AbuDhabi,Race,LOCAL,1,15,1,20,19,1,1:31.416,20.949,37.324,33.142,5.317,0.0,91416,20949,37324,33142,Medium,0,3|3|4|4,80,47,100,75,False,False,Clear,Afternoon,0,0,27.237,91.2,61.4,0.0,60.4,100.0,69.3,318,True,False,False,False,0,0,0,0,0,0,7,4,3,0,1,0,0,1,0,0,0,False,False,False,,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L2,2026-02-04T22:22:29.801361+00:00,AbuDhabi,Race,LOCAL,2,15,1,20,19,1,1:29.074,18.511,37.671,32.891,6.334,0.0,89074,18511,37671,32891,Medium,1,6|6|7|7,80,51,84,75,False,False,Clear,Afternoon,0,0,25.514,101.2,73.2,0.0,60.9,69.2,28.8,321,False,False,False,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,False,False,False,,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L3,2026-02-04T22:23:58.879991+00:00,AbuDhabi,Race,LOCAL,3,15,1,20,19,1,1:29.898,18.201,37.867,33.829,6.867,0.0,89898,18201,37867,33829,Medium,2,10|10|11|10,85,54,45,75,False,False,Clear,Afternoon,0,0,23.784,80.7,57.1,0.0,62.2,28.8,10.2,315,False,False,False,False,0,0,0,0,0,0,6,3,2,1,0,0,0,0,0,0,0,False,False,False,,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L4,2026-02-04T22:25:28.779294+00:00,AbuDhabi,Race,LOCAL,4,15,1,20,19,1,1:30.275,18.341,37.980,33.953,7.25,0.0,90275,18341,37980,33953,Medium,3,14|13|14|14,83,53,45,75,False,False,Clear,Afternoon,0,0,22.028,62.5,56.3,0.0,67.3,10.2,15.0,311,False,False,False,False,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,False,False,False,,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L5,2026-02-04T22:26:59.047716+00:00,AbuDhabi,Race,LOCAL,5,15,1,20,19,1,1:30.501,18.576,38.145,33.779,7.317,0.0,90501,18576,38145,33779,Medium,4,17|17|17|17,82,57,47,75,False,False,Clear,Afternoon,0,0,20.283,70.0,65.4,0.0,65.0,14.9,9.8,312,False,False,False,False,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,False,False,False,engine:1,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L6,2026-02-04T22:28:29.559959+00:00,AbuDhabi,Race,LOCAL,6,15,1,20,19,1,1:30.780,18.561,38.428,33.790,8.1,0.0,90780,18561,38428,33790,Medium,5,20|20|21|21,81,55,47,75,False,False,Clear,Afternoon,0,0,18.538,66.2,61.6,0.0,64.8,9.7,8.3,313,False,False,False,False,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,False,False,False,engine:1,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L7,2026-02-04T22:30:00.331793+00:00,AbuDhabi,Race,LOCAL,7,15,1,20,19,1,1:32.756,18.568,37.721,36.466,10.116,0.0,92756,18568,37721,36466,Medium,6,24|24|24|24,83,52,45,75,False,False,Clear,Afternoon,0,0,16.857,55.5,52.7,0.0,66.6,8.2,19.3,313,False,True,False,False,729,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,False,False,False,engine:1|gearbox:1,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L8,2026-02-04T22:31:33.100540+00:00,AbuDhabi,Race,LOCAL,8,15,4,20,19,1,1:49.703,37.354,37.954,34.394,4.25,2.267,109703,37354,37954,34394,Hard,0,2|1|2|2,41,13,12,75,False,False,Clear,Afternoon,1,1,15.196,71.8,61.1,0.0,65.7,19.3,13.3,331,False,False,True,False,19415,2560,0,0,0,3,6,3,2,1,0,0,0,0,0,0,0,False,False,False,engine:1|gearbox:1,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L9,2026-02-04T22:33:22.798724+00:00,AbuDhabi,Race,LOCAL,9,15,2,20,19,1,1:29.634,18.382,37.757,33.493,14.849999999999998,8.3,89634,18382,37757,33493,Hard,1,4|4|4|4,62,31,92,75,False,False,Clear,Afternoon,0,0,13.455,67.5,61.9,0.0,66.0,13.1,11.6,311,False,False,False,False,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L10,2026-02-04T22:34:52.435898+00:00,AbuDhabi,Race,LOCAL,10,15,1,20,19,1,1:29.055,18.298,37.458,33.298,14.5,0.0,89055,18298,37458,33298,Hard,2,7|6|7|6,64,34,100,75,False,False,Clear,Afternoon,0,1,11.705,66.4,60.9,0.0,64.9,11.5,10.1,314,False,False,False,False,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L11,2026-02-04T22:36:21.496873+00:00,AbuDhabi,Race,LOCAL,11,15,1,20,19,1,1:30.122,18.459,37.857,33.805,14.433,0.0,90122,18459,37857,33805,Hard,3,9|9|9|9,70,39,100,75,False,False,Clear,Afternoon,0,0,9.942,64.7,59.7,0.0,67.7,10.0,13.1,312,False,False,False,False,0,0,0,0,0,0,6,1,4,1,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L12,2026-02-04T22:37:51.628723+00:00,AbuDhabi,Race,LOCAL,12,15,1,20,19,1,1:30.229,18.722,38.136,33.370,13.8,0.0,90229,18722,38136,33370,Hard,4,12|12|12|12,68,41,100,75,False,False,Clear,Afternoon,0,0,8.186,66.5,59.3,0.0,67.4,13.0,13.8,311,False,False,False,False,0,0,0,0,0,0,5,1,3,1,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L13,2026-02-04T22:39:21.851625+00:00,AbuDhabi,Race,LOCAL,13,15,1,20,19,1,1:29.658,18.284,38.071,33.302,13.383,0.0,89658,18284,38071,33302,Hard,5,15|15|15|15,71,42,100,75,False,False,Clear,Afternoon,0,0,6.408,51.4,30.5,0.0,64.7,13.8,27.1,314,False,False,False,False,0,0,0,0,0,0,5,1,2,2,0,0,0,0,0,0,0,False,False,False,engine:3|gearbox:2,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L14,2026-02-04T22:40:51.517805+00:00,AbuDhabi,Race,LOCAL,14,15,1,20,19,1,1:29.259,18.137,37.648,33.473,13.75,0.0,89259,18137,37648,33473,Hard,6,18|18|18|18,73,45,94,75,False,False,Clear,Afternoon,0,0,4.665,83.6,77.4,0.0,65.1,27.0,8.5,312,False,False,False,False,0,0,0,0,0,0,6,4,0,2,0,0,0,0,0,0,0,False,False,False,engine:3|gearbox:2,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
AbuDhabi_Race_Feb04_001,AbuDhabi_Race_Feb04_001_L15,2026-02-04T22:42:20.799416+00:00,AbuDhabi,Race,LOCAL,15,15,1,20,19,1,1:30.242,18.300,38.234,33.706,13.15,0.0,90242,18300,38234,33706,Hard,7,21|20|21|21,72,39,95,75,False,False,Clear,Afternoon,0,0,2.942,64.8,59.3,0.0,66.5,8.5,10.2,311,False,False,False,False,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,False,False,False,engine:3|gearbox:2,0,0,0,0,False,,,0,False,True,,True,2025,0.2.9-dev
