lap_id,turn_number,flat_out,position_entry,position_exit,braking_start_dist,braking_start_speed,braking_start_gear,time_at_braking_ms,gap_behind_at_entry,gap_ahead_at_entry,entry_dist,entry_speed,entry_gear,time_at_entry_ms,apex_dist,apex_speed,apex_gear,time_at_apex_ms,exit_dist,exit_speed,exit_gear,time_at_exit_ms,gap_behind_at_exit,gap_ahead_at_exit,throttle_committed_dist,throttle_committed_speed,throttle_committed_gear,time_at_throttle_committed_ms,time_in_turn_ms,max_brake_before_apex,max_throttle_after_apex,battery_deployed_prev_straight,battery_overtake_deployed_prev_straight,battery_boost_deployed_prev_straight,battery_recharged_prev_straight,lockups,spins,lockups_front_minor,lockups_front_medium,lockups_front_severe,lockups_rear_minor,lockups_rear_medium,lockups_rear_severe,spins_minor,spins_medium,spins_severe,in_traffic,collision_events,corner_cutting_events,time_penalties_received_sec,retried_with_flashback,tyre_temps_entry,tyre_temps_apex,tyre_temps_exit,tyre_carcass_temps,brake_bias,differential,off_throttle_diff,engine_braking,turn_series_distances,turn_series_times,turn_positions,turn_speeds,turn_brakes,turn_throttles,turn_gears,turn_wheel_angles,turn_slip_ratios,turn_yaw_rates,turn_longitudinal_g,version
AbuDhabi_Race_Feb04_001_L1,RaceStart,False,1,1,0.0,0.0,0,0,0.0,0.0,106.99,1,1,250,141.16,92,3,2916,298.67,233,5,6300,0.067,0.0,141.59,93,3,2933,6050,0,100,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,False,0,0,0,False,74|74|74|74,67|67|93|93,55|55|82|82,84|84|84|84,58,30,55,50,106|117|127|137|147|157|167|177|187|197|207|217|227|238|248|258|268|278|288|298,250|1683|2283|2766|3166|3483|3799|4049|4300|4516|4733|4933|5116|5300|5483|5650|5816|5983|6150|6300,-130.9;-0.0|-126.4;9.0|-122.2;18.3|-117.9;27.5|-113.4;37.0|-109.2;45.6|-104.5;55.3|-100.3;63.9|-95.7;73.3|-91.4;82.0|-86.8;91.3|-82.3;100.4|-78.1;109.1|-73.7;118.1|-69.1;127.4|-64.8;136.1|-60.5;145.1|-56.0;154.3|-51.4;163.8|-47.2;172.4,1|51|67|85|102|115|130|144|156|167|177|185|193|200|206|212|218|224|229|233,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,53|44|63|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100,1|1|2|2|3|3|3|3|3|4|4|4|4|4|4|5|5|5|5|5,0.0000|-0.0056|-0.0121|-0.0026|-0.0013|-0.0007|-0.0005|-0.0002|-0.0002|0.0004|-0.0005|0.0004|0.0002|0.0003|0.0003|0.0009|0.0010|0.0004|-0.0004|-0.0003,3.417;3.422;-0.003;-0.003|0.690;0.719;-0.003;-0.001|0.024;0.022;-0.001;-0.001|0.068;0.067;-0.001;-0.001|0.041;0.041;-0.001;-0.001|0.073;0.072;-0.001;-0.001|0.113;0.114;-0.001;-0.002|0.093;0.094;-0.001;-0.001|0.056;0.057;-0.001;-0.001|0.041;0.042;-0.001;-0.001|0.046;0.046;-0.001;-0.001|0.039;0.039;-0.001;-0.001|0.035;0.035;-0.001;-0.001|0.032;0.033;-0.001;-0.001|0.030;0.030;-0.001;-0.001|0.030;0.031;-0.001;-0.001|0.029;0.029;-0.001;-0.001|0.027;0.027;-0.001;-0.001|0.026;0.025;-0.001;-0.001|0.021;0.021;-0.001;-0.001,0.012|-0.002|-0.001|0.002|-0.001|0.001|0.001|0.002|-0.011|0.017|0.008|-0.001|0.000|0.000|0.000|-0.003|0.001|0.013|0.016|0.015,0.92|1.11|0.58|1.23|1.01|1.33|1.46|1.51|1.34|1.37|1.28|1.18|1.11|1.04|0.97|0.98|0.95|0.91|0.86|0.64,0.2.9-dev
AbuDhabi_Race_Feb04_001_L1,1,False,1,1,317.29,238,5,6583,0.067,0.0,299.76,233,5,6316,437.72,127,4,9183,517.14,182,5,11183,0.284,0.0,458.02,129,4,9783,4867,82,100,9.4,9.2,0.0,4.2,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,False,54|54|82|82,61|77|72|81,58|71|73|81,83|83|85|85,58,30,55,50,299|310|322|333|345|356|367|379|390|402|413|425|436|447|459|470|482|493|504|517,6316|6500|6666|6850|7050|7283|7500|7783|8033|8300|8533|8833|9150|9516|9833|10150|10416|10683|10950|11183,-46.7;173.4|-41.5;184.2|-36.6;194.1|-31.1;204.3|-25.1;214.1|-18.5;223.5|-11.2;232.1|-2.5;240.1|6.5;246.3|14.7;251.3|23.4;255.0|33.6;257.5|45.6;257.9|57.8;255.5|68.7;250.8|78.3;245.1|87.9;239.0|97.5;232.7|107.2;226.2|116.9;219.8,233|237|235|218|198|182|167|152|144|137|135|131|128|127|130|138|150|162|173|182,0|0|47|81|59|42|36|23|4|0|0|0|0|0|0|0|0|0|0|0,100|100|13|0|0|0|0|0|17|23|24|24|42|51|73|100|100|100|100|100,5|5|5|5|4|4|4|4|4|4|4|4|4|4|4|4|4|4|5|5,-0.0003|-0.0040|-0.0184|-0.0213|-0.0286|-0.0372|-0.0507|-0.0498|-0.0534|-0.0807|-0.0990|-0.0998|-0.1026|-0.0881|-0.0217|-0.0089|-0.0053|-0.0003|0.0007|0.0005,0.021;0.021;-0.001;-0.001|0.021;0.020;-0.001;-0.001|-0.014;-0.014;-0.016;-0.012|-0.024;-0.020;-0.071;-0.024|-0.029;-0.027;-0.053;-0.017|-0.023;-0.022;-0.040;-0.013|-0.024;-0.023;-0.058;-0.012|-0.015;-0.017;-0.028;-0.007|0.004;-0.002;-0.002;-0.002|0.009;0.003;-0.001;-0.000|0.010;0.001;0.000;0.000|0.024;0.004;0.002;0.000|0.034;0.009;0.001;-0.000|0.081;0.016;0.000;-0.000|0.046;0.034;-0.003;-0.000|0.045;0.047;-0.001;-0.002|0.079;0.067;-0.004;-0.001|0.078;0.072;-0.002;-0.001|0.061;0.070;-0.001;-0.001|0.034;0.042;-0.001;-0.001,0.013|0.027|0.037|-0.044|0.008|-0.009|-0.007|0.013|0.084|-0.047|0.020|0.000|0.015|-0.070|0.043|0.027|0.002|-0.013|-0.013|0.013,0.62|0.58|-1.83|-2.87|-2.47|-1.84|-1.68|-1.24|-0.87|-0.21|-0.23|-0.28|-0.07|0.04|0.76|1.11|1.15|1.36|1.39|1.07,0.2.9-dev
AbuDhabi_Race_Feb04_001_L1,2,True,1,1,0.0,0.0,0,0,0.684,0.0,580.16,222,5,12283,633.02,234,6,13133,716.55,245,6,14349,0.867,0.0,700.8,241,6,14099,2066,0,100,10.3,9.0,0.0,2.3,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,False,54|64|71|78,57|77|75|85,61|89|78|93,82|83|85|86,58,30,55,50,580|586|594|601|608|615|622|629|636|644|651|658|665|672|679|687|694|701|708|716,12283|12416|12533|12633|12749|12866|12966|13099|13199|13299|13416|13516|13616|13716|13799|13916|14033|14116|14233|14349,169.5;185.1|175.5;181.0|181.4;176.7|187.3;172.1|192.1;167.8|197.6;162.5|202.7;156.9|207.4;150.9|211.1;145.6|214.4;140.0|218.0;133.3|220.7;127.3|223.0;121.2|225.0;115.0|226.7;108.6|228.1;102.2|229.4;94.5|230.3;87.9|231.0;81.2|231.7;73.4,222|225|229|231|233|234|234|234|234|234|235|235|235|236|237|238|239|241|243|245,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100,5|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,-0.0086|-0.0194|-0.0317|-0.0426|-0.0557|-0.0645|-0.0600|-0.0539|-0.0580|-0.0598|-0.0567|-0.0571|-0.0516|-0.0411|-0.0379|-0.0347|-0.0220|-0.0087|-0.0074|-0.0087,0.029;0.028;-0.001;-0.001|0.037;0.030;-0.001;-0.001|0.033;0.022;-0.001;-0.001|0.041;0.023;-0.001;-0.001|0.048;0.024;-0.001;-0.001|0.048;0.023;-0.001;-0.000|0.054;0.024;-0.000;-0.000|0.048;0.022;-0.000;-0.000|0.049;0.023;-0.000;-0.000|0.044;0.021;-0.001;-0.000|0.045;0.022;-0.001;-0.000|0.050;0.023;-0.000;-0.000|0.043;0.020;-0.001;-0.000|0.048;0.023;-0.001;-0.000|0.051;0.025;-0.001;-0.000|0.042;0.024;-0.001;-0.000|0.033;0.021;-0.001;-0.000|0.026;0.020;-0.001;-0.000|0.024;0.020;-0.001;-0.001|0.022;0.019;-0.001;-0.001,0.059|0.004|-0.006|0.015|-0.014|-0.029|-0.006|-0.000|-0.013|-0.006|-0.005|-0.041|-0.020|-0.034|-0.072|-0.018|-0.001|0.008|-0.030|-0.033,0.87|0.97|0.75|0.68|0.52|0.28|0.27|0.24|0.26|0.26|0.30|0.28|0.30|0.33|0.37|0.42|0.51|0.54|0.54|0.54,0.2.9-dev
AbuDhabi_Race_Feb04_001_L1,3,True,1,1,0.0,0.0,0,0,0.867,0.0,724.55,247,6,14466,845.92,253,6,16133,999.17,265,7,18283,1.367,0.0,838.63,253,6,16016,3817,0,100,1.8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,False,60|88|77|92,93|83|93|91,107|77|100|87,82|84|85|86,58,30,55,50,724|738|752|767|781|796|810|825|839|854|868|883|897|912|926|941|955|969|984|999,14466|14683|14866|15083|15249|15449|15666|15866|16033|16249|16433|16649|16866|17066|17266|17466|17666|17866|18066|18283,232.3;65.4|233.1;50.4|233.7;36.4|234.4;22.1|235.9;9.1|239.0;-4.8|243.7;-18.2|249.7;-31.0|256.4;-42.1|264.8;-53.4|274.4;-63.6|285.1;-72.7|297.6;-81.1|310.0;-87.7|322.9;-93.0|337.5;-97.1|351.4;-99.7|365.6;-101.5|379.9;-102.8|394.5;-104.0,247|251|254|257|257|256|254|254|253|253|252|251|251|251|252|253|255|258|261|265,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|7,-0.0058|-0.0032|0.0029|0.0496|0.0685|0.0736|0.0725|0.0739|0.0730|0.0701|0.0692|0.0693|0.0723|0.0685|0.0555|0.0375|0.0173|0.0025|0.0056|0.0004,0.022;0.019;-0.001;-0.000|0.020;0.019;-0.001;-0.000|0.019;0.019;-0.000;-0.000|0.016;0.025;-0.001;-0.000|0.019;0.041;-0.000;0.000|0.021;0.045;-0.000;0.000|0.021;0.043;-0.000;-0.000|0.021;0.042;-0.000;-0.000|0.020;0.040;-0.000;-0.000|0.019;0.039;-0.000;-0.000|0.020;0.042;-0.000;-0.000|0.021;0.042;-0.000;-0.000|0.021;0.042;-0.000;-0.000|0.021;0.040;-0.000;-0.000|0.019;0.035;-0.000;-0.001|0.018;0.032;-0.000;-0.001|0.018;0.026;-0.000;-0.001|0.018;0.021;-0.000;-0.001|0.017;0.019;-0.000;-0.000|0.017;0.018;-0.001;-0.001,-0.038|-0.013|0.003|0.074|0.013|0.018|-0.009|-0.017|-0.029|-0.002|0.010|-0.007|-0.019|-0.023|-0.001|-0.015|-0.044|-0.029|-0.017|0.005,0.53|0.50|0.48|0.31|0.08|0.03|0.10|0.14|0.13|0.12|0.13|0.16|0.18|0.20|0.25|0.34|0.43|0.47|0.47|0.57,0.2.9-dev
AbuDhabi_Race_Feb04_001_L1,4,True,1,1,0.0,0.0,0,0,1.367,0.0,1002.92,265,7,18333,1072.21,279,7,19216,1151.55,289,7,20216,1.517,0.0,1035.9,272,7,18749,1883,0,100,2.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,False,106|77|99|87,92|70|89|81,81|65|81|77,84|84|87|87,58,30,55,50,1002|1010|1018|1026|1034|1041|1049|1057|1065|1073|1080|1088|1096|1104|1112|1119|1127|1135|1143|1151,18333|18449|18549|18649|18733|18833|18933|19049|19133|19233|19333|19433|19549|19633|19749|19833|19916|20016|20133|20216,398.2;-104.3|406.8;-104.9|414.2;-105.5|421.7;-106.1|429.2;-106.7|436.8;-107.4|444.3;-108.3|451.9;-109.3|459.5;-110.5|467.2;-111.8|474.8;-113.2|482.5;-114.9|490.1;-116.6|497.8;-118.5|505.4;-120.6|513.1;-122.8|519.4;-124.7|527.0;-127.1|534.6;-129.6|542.2;-132.3,265|267|269|270|272|273|275|276|278|280|281|282|283|284|285|286|287|287|288|289,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,0.0001|-0.0009|-0.0040|-0.0064|-0.0092|-0.0115|-0.0123|-0.0097|-0.0111|-0.0122|-0.0098|-0.0105|-0.0097|-0.0092|-0.0091|-0.0083|-0.0089|-0.0097|-0.0092|-0.0089,0.019;0.017;-0.000;-0.000|0.019;0.017;-0.000;-0.000|0.019;0.017;-0.000;-0.000|0.018;0.016;-0.000;-0.000|0.020;0.016;-0.000;-0.000|0.018;0.015;-0.000;-0.000|0.023;0.019;-0.001;-0.001|0.021;0.017;-0.001;-0.000|0.022;0.018;-0.001;-0.001|0.021;0.018;-0.001;-0.000|0.017;0.015;-0.000;-0.000|0.017;0.014;-0.000;-0.000|0.017;0.014;-0.000;-0.000|0.016;0.014;-0.000;-0.000|0.016;0.014;-0.000;-0.000|0.016;0.014;-0.000;-0.000|0.017;0.014;-0.000;-0.000|0.016;0.014;-0.000;-0.000|0.016;0.013;-0.000;-0.000|0.016;0.014;-0.000;-0.000,-0.006|-0.028|-0.113|0.031|0.000|-0.010|-0.025|0.005|-0.008|0.018|-0.004|0.028|0.019|0.032|0.014|-0.001|-0.002|0.016|0.022|0.013,0.42|0.43|0.38|0.43|0.39|0.38|0.52|0.52|0.50|0.49|0.31|0.31|0.30|0.30|0.28|0.28|0.27|0.26|0.25|0.24,0.2.9-dev
AbuDhabi_Race_Feb04_001_L1,5,False,1,1,1313.54,301,8,22183,1.65,0.0,1314.93,301,8,22199,1466.33,92,2,25133,1581.25,182,4,28466,2.383,0.0,1511.27,112,2,26699,6283,100,100,4.8,1.9,0.0,6.3,2,0,1,1,0,0,0,0,0,0,0,False,0,0,0,False,64|56|68|67,79|86|65|76,65|74|70|76,85|85|88|88,58,30,55,50,1313|1327|1341|1355|1369|1383|1397|1412|1426|1440|1454|1468|1482|1496|1510|1524|1538|1552|1566|1581,22199|22366|22549|22766|22966|23233|23499|23833|24133|24449|24816|25199|25649|26166|26683|27116|27533|27866|28166|28466,691.1;-199.6|703.6;-205.4|716.3;-211.4|728.8;-217.7|740.7;-224.2|752.4;-231.9|763.3;-241.2|773.0;-251.7|779.9;-262.3|784.2;-272.5|786.1;-283.4|784.8;-293.4|779.3;-303.5|769.0;-312.5|755.1;-318.4|741.1;-321.0|726.5;-321.5|712.1;-321.0|698.7;-320.2|684.1;-319.1,301|289|264|237|213|193|172|152|135|118|101|92|93|99|111|124|139|155|168|182,15|74|100|100|67|50|45|37|33|29|19|0|0|0|0|0|0|0|0|0,57|3|0|0|0|0|0|0|0|0|0|27|39|58|64|78|100|100|100|100,8|8|8|8|7|6|6|5|4|3|2|2|2|2|2|2|3|3|3|4,-0.0017|-0.0035|-0.0079|-0.0151|-0.0357|-0.0473|-0.0496|-0.0748|-0.1059|-0.1335|-0.1612|-0.1662|-0.1146|-0.0802|-0.0552|-0.0354|-0.0134|-0.0040|-0.0035|-0.0025,0.001;0.001;-0.004;-0.004|-0.019;-0.019;-0.019;-0.018|-0.033;-0.032;-0.034;-0.028|-0.042;-0.039;-0.053;-0.031|-0.031;-0.029;-0.084;-0.019|-0.017;-0.016;-0.123;-0.016|-0.023;-0.014;-0.129;-0.017|-0.029;-0.025;-0.109;-0.015|-0.035;-0.028;-0.240;-0.020|-0.026;-0.022;-0.227;-0.016|0.022;-0.003;-0.128;-0.012|0.040;0.006;0.001;-0.000|0.053;0.012;-0.001;-0.000|0.073;0.023;-0.002;-0.001|0.062;0.026;-0.002;-0.001|0.066;0.040;-0.002;-0.001|0.109;0.100;-0.002;-0.002|0.041;0.030;-0.001;-0.002|0.045;0.048;-0.001;-0.001|0.042;0.042;-0.001;-0.001,-0.009|0.029|0.015|-0.003|-0.022|0.029|-0.034|-0.044|-0.026|-0.040|-0.009|0.030|-0.005|0.019|0.018|0.009|-0.053|0.026|-0.045|-0.066,-0.79|-3.05|-3.88|-3.76|-2.79|-1.59|-1.73|-1.71|-1.59|-1.63|-0.65|-0.16|0.20|0.58|0.73|0.88|1.50|1.25|1.16|1.26,0.2.9-dev
AbuDhabi_Race_Feb04_001_L1,6,False,1,1,2515.88,317,8,40282,2.434,0.0,2531.7,299,8,40466,2690.7,74,2,44499,2697.66,80,2,44849,2.434,0.0,0.0,0.0,0,0,4567,100,60,21.8,14.2,0.0,12.9,1,0,1,0,0,0,0,0,0,0,0,False,0,0,0,False,43|44|53|53,59|74|62|74,59|73|62|75,84|85|88|89,58,30,55,50,2515|2539|2548|2556|2565|2574|2583|2592|2600|2609|2618|2627|2635|2644|2653|2662|2671|2679|2688|2697,40466|40566|40699|40799|40932|41066|41216|41382|41582|41766|41966|42216|42466|42766|43116|43382|43632|43999|44399|44849,-265.6;-306.1|-273.7;-306.0|-282.7;-306.0|-291.2;-305.9|-300.2;-305.8|-308.7;-305.7|-317.4;-305.6|-326.4;-305.5|-335.5;-305.4|-343.8;-305.2|-352.8;-305.0|-361.5;-304.4|-370.3;-303.0|-378.7;-300.3|-386.4;-295.7|-390.6;-291.2|-393.1;-286.7|-394.7;-278.4|-393.3;-269.8|-388.7;-261.8,299|285|269|253|236|219|201|185|171|157|142|127|113|99|86|80|79|80|76|80,100|100|100|100|100|100|85|70|62|61|58|47|39|23|5|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|31|45|50|10|61,8|8|8|8|8|7|7|6|5|5|4|3|2|2|2|2|2|2|2|2,-0.0015|-0.0010|0.0001|-0.0009|-0.0000|0.0007|-0.0002|-0.0018|-0.0013|-0.0033|-0.0183|-0.0389|-0.0765|-0.1438|-0.2298|-0.2359|-0.1811|-0.1227|-0.0006|0.0739,-0.029;-0.029;-0.028;-0.028|-0.031;-0.030;-0.029;-0.029|-0.034;-0.033;-0.032;-0.031|-0.037;-0.036;-0.034;-0.036|-0.039;-0.039;-0.038;-0.037|-0.042;-0.043;-0.043;-0.040|-0.029;-0.029;-0.034;-0.034|-0.034;-0.034;-0.027;-0.026|-0.028;-0.027;-0.027;-0.025|-0.033;-0.033;-0.027;-0.024|-0.036;-0.034;-0.031;-0.021|-0.024;-0.024;-0.047;-0.016|-0.080;-0.068;-0.078;-0.015|-0.014;-0.020;-0.098;-0.014|0.019;-0.011;-0.029;-0.004|0.095;0.010;0.002;0.000|0.177;0.025;-0.000;-0.000|0.248;0.078;0.000;-0.000|0.078;0.009;0.003;0.001|0.023;0.032;-0.001;-0.001,0.003|0.002|0.002|0.009|0.003|0.011|-0.007|0.001|0.005|0.007|-0.001|0.007|-0.013|0.014|-0.006|-0.031|-0.015|-0.057|0.007|0.052,-4.02|-3.95|-3.88|-3.79|-3.71|-3.64|-3.01|-2.61|-2.24|-2.19|-2.06|-1.74|-1.62|-1.20|-0.86|-0.29|0.08|0.21|-0.24|0.61,0.2.9-dev
AbuDhabi_Race_Feb04_001_L1,7,False,1,1,0.0,0.0,0,0,2.434,0.0,2698.4,80,2,44882,2736.74,94,2,46166,2766.41,106,2,47316,2.584,0.0,2765.44,105,2,47282,2434,0,66,0.0,0.0,0.0,1.3,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,False,59|72|62|75,64|69|67|74,64|67|67|72,84|85|88|89,58,30,55,50,2698|2701|2705|2709|2712|2716|2719|2723|2727|2730|2734|2737|2741|2744|2748|2752|2755|2759|2762|2766,44882|45032|45182|45316|45466|45599|45716|45832|45916|45982|46099|46216|46366|46516|46649|46799|46932|47049|47199|47316,-388.3;-261.2|-386.4;-257.8|-384.9;-254.5|-383.6;-251.4|-382.5;-247.7|-381.9;-244.7|-381.6;-241.2|-381.6;-238.5|-381.7;-236.3|-382.0;-234.1|-382.5;-231.5|-383.5;-228.2|-384.8;-224.9|-386.6;-221.4|-388.7;-218.1|-390.9;-215.3|-393.3;-212.6|-395.9;-210.0|-398.8;-207.6|-401.5;-205.5,80|85|88|91|94|95|96|96|95|95|94|94|93|94|95|96|98|100|103|106,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,65|66|60|57|54|45|35|29|25|21|21|22|28|38|40|41|43|51|60|66,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.0718|0.0725|0.0923|0.1046|0.1124|0.1216|0.1194|0.1141|0.1151|0.1175|0.1154|0.1091|0.1039|0.1033|0.1001|0.0817|0.0724|0.0527|0.0435|0.0343,0.027;0.038;-0.001;-0.002|0.026;0.052;-0.001;-0.001|0.022;0.064;-0.001;-0.001|0.022;0.076;-0.001;-0.001|0.026;0.106;-0.001;-0.001|0.021;0.107;-0.000;-0.001|0.018;0.119;-0.000;-0.000|0.013;0.101;0.000;0.000|0.012;0.091;0.000;0.000|0.012;0.072;0.000;0.001|0.011;0.041;0.000;0.004|0.006;0.021;-0.000;0.004|0.005;0.018;-0.000;-0.000|0.009;0.035;-0.000;-0.000|0.012;0.073;-0.000;-0.000|0.022;0.108;-0.000;-0.001|0.018;0.053;-0.000;-0.002|0.018;0.045;-0.001;-0.001|0.020;0.065;-0.001;-0.002|0.032;0.049;-0.001;-0.014,0.028|0.003|-0.018|-0.013|-0.009|-0.055|-0.062|-0.074|-0.041|0.060|0.013|0.062|0.034|0.007|-0.035|-0.024|0.030|0.001|0.012|-0.043,0.67|0.73|0.65|0.52|0.47|0.29|0.11|-0.01|-0.05|-0.04|-0.04|-0.05|0.04|0.18|0.16|0.33|0.42|0.56|0.95|1.21,0.2.9-dev
AbuDhabi_Race_Feb04_001_L1,8,True,1,1,0.0,0.0,0,0,2.584,0.0,2791.7,133,3,48066,2859.73,193,4,49549,3091.39,280,7,52916,2.85,0.0,2837.95,177,4,49116,4850,0,100,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,False,62|64|68|72,58|59|71|74,50|52|66|69,84|85|88|89,58,30,55,50,2791|2807|2822|2838|2854|2870|2886|2901|2917|2933|2949|2964|2980|2996|3012|3028|3043|3059|3075|3091,48066|48466|48816|49132|49449|49732|49999|50266|50516|50766|50999|51216|51466|51666|51882|52099|52299|52516|52716|52916,-422.8;-191.6|-436.4;-183.4|-449.4;-174.9|-461.6;-166.0|-474.0;-155.7|-485.2;-145.1|-495.8;-134.2|-506.5;-122.4|-516.4;-110.5|-525.5;-98.7|-535.0;-85.2|-542.8;-72.8|-550.7;-58.7|-557.8;-45.1|-564.5;-31.0|-571.0;-16.5|-576.9;-2.8|-583.3;12.3|-589.1;26.5|-595.0;40.8,133|152|165|177|189|200|210|218|226|233|240|246|252|257|261|266|270|274|277|280,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,95|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100,3|3|3|4|4|4|5|5|5|6|6|6|6|6|7|7|7|7|7|7,0.0021|-0.0082|-0.0125|-0.0144|-0.0142|-0.0111|-0.0082|-0.0103|-0.0115|-0.0127|-0.0154|-0.0131|-0.0093|-0.0095|-0.0048|-0.0028|-0.0028|-0.0015|-0.0009|-0.0006,0.120;0.151;-0.002;-0.001|0.047;0.057;-0.000;-0.001|0.048;0.033;-0.001;-0.001|0.043;0.033;-0.001;-0.001|0.047;0.034;-0.001;-0.001|0.042;0.031;-0.001;-0.001|0.030;0.024;-0.001;-0.001|0.037;0.028;-0.001;-0.001|0.034;0.026;-0.001;-0.001|0.034;0.025;-0.001;-0.001|0.033;0.023;-0.001;-0.001|0.032;0.023;-0.001;-0.001|0.028;0.021;-0.001;-0.001|0.025;0.020;-0.001;-0.001|0.027;0.022;-0.001;-0.001|0.021;0.020;-0.001;-0.001|0.020;0.019;-0.001;-0.001|0.020;0.019;-0.001;-0.001|0.019;0.019;-0.001;-0.000|0.016;0.016;-0.000;-0.000,-0.090|-0.040|0.006|0.014|-0.002|0.016|0.026|0.011|-0.006|-0.003|0.003|0.008|-0.011|-0.018|-0.036|0.003|0.005|0.004|-0.003|0.001,1.09|1.03|1.02|1.03|1.14|1.02|0.88|0.93|0.87|0.94|0.76|0.73|0.69|0.64|0.74|0.58|0.55|0.53|0.50|0.32,0.2.9-dev
AbuDhabi_Race_Feb04_001_L1,9,False,1,1,3567.53,312,8,58607,2.766,0.0,3577.56,303,8,58723,3684.31,143,4,60540,3951.26,223,5,65724,3.05,0.0,3703.08,144,4,60957,7117,100,100,20.5,15.0,0.0,6.0,2,0,1,1,0,0,0,0,0,0,0,False,0,0,0,False,44|45|54|58,72|74|59|70,63|99|76|92,84|85|89|91,58,30,55,50,3567|3596|3615|3635|3655|3674|3694|3714|3733|3753|3773|3792|3812|3832|3851|3871|3891|3910|3930|3951,58723|58973|59257|59573|59957|60357|60790|61190|61623|62040|62440|62823|63223|63607|63973|64323|64690|65040|65390|65724,-719.4;509.1|-720.7;528.9|-720.7;547.5|-718.9;567.6|-714.5;587.0|-707.7;602.8|-697.1;616.5|-683.6;626.4|-667.4;632.9|-649.4;635.2|-631.6;633.0|-614.5;626.3|-599.6;616.1|-586.9;602.5|-577.5;586.9|-571.1;569.0|-567.9;549.4|-568.1;529.7|-571.4;509.5|-576.8;490.0,303|268|234|202|173|149|143|148|154|159|163|167|172|176|182|190|199|206|214|223,85|100|80|60|50|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8|0|0|0|0|6|58|72|76|76|76|76|78|81|95|100|100|100|100|100,8|8|7|6|4|4|4|4|4|4|4|4|4|4|4|5|5|5|5|5,-0.0070|-0.0190|-0.0353|-0.0445|-0.0634|-0.1090|-0.0881|-0.0701|-0.0731|-0.0815|-0.0814|-0.0702|-0.0701|-0.0710|-0.0556|-0.0423|-0.0488|-0.0394|-0.0155|-0.0063,-0.023;-0.022;-0.024;-0.022|-0.036;-0.033;-0.043;-0.028|-0.038;-0.033;-0.163;-0.023|-0.030;-0.027;-0.128;-0.019|-0.014;-0.007;-0.189;-0.018|-0.008;-0.014;-0.123;-0.008|0.043;0.015;-0.001;-0.000|0.044;0.019;-0.001;-0.001|0.062;0.023;-0.002;-0.000|0.068;0.026;-0.003;-0.000|0.065;0.025;-0.002;-0.000|0.054;0.023;-0.002;-0.000|0.055;0.024;-0.002;-0.000|0.056;0.023;-0.001;-0.001|0.062;0.029;-0.004;-0.001|0.089;0.046;-0.004;-0.001|0.050;0.026;-0.001;-0.001|0.058;0.029;-0.001;-0.001|0.033;0.024;-0.001;-0.001|0.033;0.026;-0.001;-0.001,0.013|0.060|0.017|-0.015|-0.003|-0.007|-0.013|0.003|0.027|-0.001|-0.005|0.014|-0.006|-0.041|-0.003|-0.003|-0.042|-0.025|0.032|-0.045,-3.40|-3.92|-3.27|-2.42|-1.98|-1.27|0.20|0.47|0.50|0.44|0.38|0.45|0.48|0.36|0.72|1.07|0.68|0.65|0.73|0.91,0.2.9-dev
